Modelo,Accuracy,Precision,Recall,F1-Score
Regresión Logística,0.9545300305395318,0.9563383960343965,0.9545300305395318,0.9544389540811742
SVM,0.9521547336274178,0.9525943305549845,0.9521547336274178,0.9520676027761258
Red Neuronal,0.9477434679334917,0.949973011830361,0.9477434679334917,0.947871967856522
XGBoost,0.9382422802850356,0.9396577362266805,0.9382422802850356,0.9380000669618073
Bosque Aleatorio,0.9267051238547676,0.9277712702486303,0.9267051238547676,0.926583697321762
